STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
722146,12816, 19431221,   44.7,24,   31.7,24, 1023.3,24, 9999.9, 0,   2.6,24,   4.5,24,  14.0, 999.9,   67.3*,  27.3*, 0.00I,999.9, 000000,
722146,12816, 19431222,   55.5,24,   49.0,24, 1020.8,24, 9999.9, 0,   3.6,24,   6.7,24,  12.0, 999.9,   70.3*,  43.3*, 0.00I,999.9, 000000,
722146,12816, 19431223,   55.4,24,   49.3,24, 1022.5,24, 9999.9, 0,  20.1,24,   3.9,24,   9.9, 999.9,   74.3*,  43.3*, 0.00I,999.9, 000000,
722146,12816, 19431224,   53.4,24,   43.9,24, 1028.2,24, 9999.9, 0,   4.5,24,  10.3,24,  15.9, 999.9,   60.3*,  47.3*, 0.00I,999.9, 000000,
722146,12816, 19431225,   58.0,24,   56.2,24, 1023.9,24, 9999.9, 0,   2.5,24,   7.2,24,  13.0, 999.9,   66.4*,  51.3*,99.99 ,999.9, 110000,
722146,12816, 19431226,   67.9,24,   65.9,24, 1017.9,24, 9999.9, 0,   4.0,24,   7.2,24,  16.9, 999.9,   73.4*,  65.3*,99.99 ,999.9, 110000,
722146,12816, 19431227,   61.4,24,   59.1,24, 1020.4,24, 9999.9, 0,   3.8,24,   3.3,24,   8.9, 999.9,   66.4*,  57.4*, 0.00I,999.9, 000000,
722146,12816, 19431228,   62.4,24,   61.2,24, 1018.0,24, 9999.9, 0,   2.2,24,   5.2,24,  14.0, 999.9,   70.3*,  55.4*,99.99 ,999.9, 110000,
722146,12816, 19431229,   53.1,24,   47.9,24, 1014.9,24, 9999.9, 0,   5.3,24,   9.0,24,  15.9, 999.9,   68.4*,  43.3*,99.99 ,999.9, 010000,
722146,12816, 19431230,   48.4,24,   41.7,24, 1018.8,24, 9999.9, 0,   4.2,24,   3.0,24,   7.0, 999.9,   61.3*,  39.4*, 0.00I,999.9, 000000,
722146,12816, 19431231,   45.3,24,   39.9,24, 1021.8,24, 9999.9, 0,   4.0,24,   4.7,24,   9.9, 999.9,   62.4*,  33.4*, 0.00I,999.9, 000000,
722146,12816, 19440101,   47.4,24,   38.4,24, 1023.4,24, 9999.9, 0,   3.8,24,   6.5,24,   9.9, 999.9,   62.4*,  35.4*, 0.00I,999.9, 000000,
722146,12816, 19440102,   54.3,24,   49.6,24, 1019.5,24, 9999.9, 0,   3.3,24,   5.4,24,   9.9, 999.9,   70.3*,  46.4*,99.99 ,999.9, 010000,
722146,12816, 19440103,   63.4,24,   57.9,24, 1012.9,24, 9999.9, 0,  12.7,24,  14.1,24,  26.0, 999.9,   67.3*,  53.4*,99.99 ,999.9, 110000,
722146,12816, 19440104,   48.2,24,   41.1,24, 1019.4,24, 9999.9, 0,  56.3,24,   6.6,24,   9.9, 999.9,   63.3*,  35.4*, 0.00I,999.9, 000000,
722146,12816, 19440105,   47.3,24,   40.8,24, 1020.7,24, 9999.9, 0,  10.9,24,   2.3,24,   4.1, 999.9,   64.4*,  33.4*, 0.00I,999.9, 000000,
722146,12816, 19440106,   52.0,24,   42.1,23, 1019.6,24, 9999.9, 0,   5.6,24,   3.5,24,   7.0, 999.9,   63.3*,  41.4*, 0.00I,999.9, 000000,
722146,12816, 19440107,   48.2,24,   41.6,24, 1020.9,24, 9999.9, 0,   5.7,24,   7.0,24,  12.0, 999.9,   66.4*,  34.3*, 0.00I,999.9, 000000,
722146,12816, 19440108,   58.6,24,   56.3,24, 1014.8,24, 9999.9, 0,   4.1,24,   8.8,24,  14.0, 999.9,   65.3*,  54.3*,99.99 ,999.9, 110000,
722146,12816, 19440109,   50.8,24,   49.1,24, 1015.2,24, 9999.9, 0,   3.1,24,   8.2,24,  11.1, 999.9,   64.4*,  42.4*,99.99 ,999.9, 110000,
722146,12816, 19440110,   43.2,24,   36.3,24, 1025.8,24, 9999.9, 0,   3.9,24,   4.0,24,   9.9, 999.9,   50.4*,  40.3*, 0.00I,999.9, 000000,
722146,12816, 19440111,   44.4,24,   40.3,24, 1026.8,24, 9999.9, 0,   2.4,24,   4.3,24,   7.0, 999.9,   56.3*,  33.4*, 0.00I,999.9, 000000,
722146,12816, 19440112,   51.6,24,   42.9,24, 1026.4,24, 9999.9, 0,   5.7,24,   6.0,24,  11.1, 999.9,   61.3*,  41.4*, 0.00I,999.9, 000000,
722146,12816, 19440113,   51.0,24,   44.7,24, 1026.3,24, 9999.9, 0,   3.5,24,   7.0,24,   9.9, 999.9,   53.4*,  49.3*,99.99 ,999.9, 110000,
